,handler_position,screener_position,handler_distance,screener_distance,handler_avg_velo,screener_avg_velo,handler_start_x,handler_start_y,screener_start_x,screener_start_y,handler_end_x,handler_end_y,screener_end_x,screener_end_y,label
57,G,F-C,11.615924103117301,4.977419101,7.446105194305962,3.1906532700966093,27.63919,58.56402,27.49011,63.53783,31.10729,66.12252,26.29096,66.5422,none
58,G,F-C,17.218625050967816,4.506709855423325,9.357948397265119,2.449298834469197,17.75886,62.5216,19.2606,66.97412,10.911929999999998,76.23198,17.57009,64.5643,none
59,G,F-C,11.000818336027171,1.779626381421759,6.548106152397127,1.0593014175129514,13.282089999999997,59.6972,12.75114,63.89977,14.173160000000003,62.60093,13.424579999999999,64.81044,none
60,G-F,C-F,10.39613713371467,5.119274202670512,4.903838271,2.4147519823917514,40.81871,78.62703,37.41771,80.92296999999999,33.21147,77.66045,37.57804,81.09617,none
61,G,F-C,8.412168099,7.379537909,5.257605061746028,4.612211193012973,19.50054,58.77455,21.87563,63.02942,17.029899999999998,66.35209,23.15582,70.18247,none
62,G,F,28.39499043311911,10.147218523696248,11.831246013799626,4.228007718206771,35.70321,62.67261,31.88736,65.45933,15.4634,81.03837,37.03788,66.14856,none
63,G,C,27.530045253125827,19.030869595417023,9.693677906,6.701010420921486,30.21702,62.77642,27.92984,67.02938,15.26413,83.28785,23.36448,83.87595,PNR
64,G-F,F-C,27.00988582398879,12.655859852173462,10.078315605965965,4.722335765736365,29.9371,57.10709,26.81695,60.77336,19.90974,80.76072,24.12389,68.63479,PNR
65,G,F-C,9.372277101259808,2.0364787760120526,14.64418297071845,3.1819980875188323,39.61697,61.46141,35.71052,64.54607,37.90658,70.6338,37.67243,64.04699,none
66,F,C,21.84920696,13.037723119489693,13.005480334566434,7.760549475886724,19.26961,64.16,22.78103,67.06223,36.61683,76.05856,21.10671,75.96014,PNR
67,F,C,20.004995842932754,12.923531399238513,10.872280349419976,7.023658369151366,7.33427,71.42135999999999,11.7832,69.81609,23.47867,71.87378,15.28944,81.03746,PNR
68,G,C,10.61902653104761,2.7499734721228535,12.06707560346319,3.124969854685061,10.82163,65.29433,12.88651,69.63629,6.57204,74.92155,12.9431,70.84691000000001,none
69,G-F,C,14.889352729611925,12.884219437551085,6.893218856301819,5.964916406273651,41.24608,71.82456,36.52486,73.01113000000001,28.25647,70.03592,31.45454,82.12608,PNR
70,G-F,C,11.55192062767299,5.354034778624208,9.626600523060825,4.461695648853506,10.60501,66.44438,10.5,71.01749,7.12324,77.03466,13.70277,72.70783,PNR
71,G-F,F-C,7.5958535251957935,1.793050874216628,4.869136875,1.149391586,35.57907,67.93326,31.53922,70.67623,29.85722,65.31759,32.48949,69.39725,none
72,G,F,8.600445583,8.164927963425072,4.778025323997188,4.536071090791705,4.37769,80.33248,9.16737,79.04993,9.23004,74.04843,7.45601,86.2359,none
73,G,C-F,21.317446248369887,3.481247748637023,12.68895610022017,2.072171278950609,21.1368,63.1019,22.22613,67.79685,13.19104,82.43213,24.7702,69.18524,PNP
74,G-F,F-C,29.028913702740706,12.661163532342558,15.440911544011009,6.734661453,10.193170000000002,56.47265,13.239150000000002,59.83562,18.38334,83.83323,15.511310000000002,70.76892,PNR
75,G-F,C-F,31.984470729544995,13.199226790132562,19.038375434252973,7.856682613174144,39.98533,64.07825,36.25251,66.49967,20.83411,85.04921,31.18991,78.42287999999999,PNR
76,F,C,15.851616806787078,17.625836794173942,7.770400395483862,8.640116075575465,21.11402,57.74206,23.03617,61.94877,29.13066,69.84618,20.71455,75.77843,PNR
77,G,C,16.822576920578694,9.490605251050791,7.646625872990315,4.313911477750358,41.22245,73.53978000000001,39.02336,77.82801,43.95115,88.62314,34.1525,79.12195,PNR
78,G,C,19.655140227074927,13.236235263085371,10.454861822912196,7.0405506718539215,27.63742,54.92092,27.33368,59.77306,38.97344,70.66822,23.95455,72.39019,none
79,G,G,7.044611599011501,21.52579409711942,4.295494877446036,13.125484205560621,38.19975,71.36931,37.62139,66.70173,38.75423,75.88163,47.76358,85.07691,none
80,F,F-C,11.656867359040163,8.536376027106893,4.700349741548454,3.442087107704393,14.46921,69.23269,17.30021,73.29475,16.74175,68.64287,11.38491,74.56077,none
81,F-C,G,4.308573087958608,15.405317131229266,2.244048483311777,8.023602672515244,36.91009,73.24392,36.28628,68.58729,34.8356,70.89412,35.23628,83.31074,none
82,G,F,14.406462312381578,8.200438189,7.5033657876987405,4.271061556578968,10.359789999999997,77.3098,12.97831,81.24853,8.843870000000003,90.4065,9.526409999999998,75.87779,PNP
83,G,F-C,18.90083966582579,4.511884027299933,11.813024791141121,2.8199275170624585,42.60183,69.64142,39.20793,72.99662000000001,24.99997,72.90098,43.04652,74.37279,PNP
84,G,F-C,14.471734282973644,12.47981188,6.578061037715292,5.672641765333999,40.96413,81.84722,36.1883,81.65888,28.38461,77.20153,35.1025,89.0686,PNR
85,G,F,20.82263403477479,5.331765380829949,13.347842329983841,3.4177983210448404,28.26812,64.66509,27.02325,69.41421,31.51278,83.42643,25.71892,66.10346,PNP
86,G,C,16.38692434525293,11.313899846292628,8.360675686353533,5.772397880761544,31.77045,57.90974,29.11974,61.77184,41.77425,67.82183,27.19568,70.34365,PNR
87,G,F-C,13.085165256538916,11.27509062337827,6.172247762518355,5.318438973291636,10.02241,68.58698,14.55413,70.36444,6.4472,80.36411,20.39135,77.25796,PNR
88,G,F,20.235262554797565,5.105054984,11.76468753185905,2.968055223273884,42.38694,61.96305,41.768969999999996,66.50616,47.54368,80.9986,40.66566,68.64814,PNR
89,G,F-C,18.76157829301743,9.7489722,10.659987666487176,5.5391887502340404,41.35553,80.68144,37.12063,79.31597,28.51148,67.41248,36.21965,86.79567,PNR
90,G,C,23.86497745445176,12.690881599069396,13.559646280938496,7.210728181289429,14.083959999999998,66.97202,18.87917,66.23126,30.29815,83.70386,19.86252,76.59094,PNR
91,G,F,22.021516228220822,5.652757863613347,11.469539702198347,2.9441447206319515,30.66258,57.54127,31.57572,62.15327,45.93456,72.06023,31.0526,61.69106,none
92,G,F,19.473009011849378,9.088477794949144,11.32151686735429,5.283998717993689,29.34038,60.48141,28.88994,64.95804,34.50576,77.64253,21.93303,68.01143,PNP
93,G,F-C,14.336875014792478,10.93307055642553,8.741996960239314,6.666506436844838,19.63515,60.80172,21.63357,64.85302,17.23664,74.42509,22.06239,71.49021,PNR
94,F,F-C,7.091536903259501,6.991666980865506,3.6181310730915817,3.5671770310538293,13.35141,79.30449,17.75973,81.40851,10.19901,80.86643,15.61883,85.08688000000001,none
95,F,G,7.775170513439164,15.517627678604942,4.859481570899478,9.698517299,14.550960000000003,86.71027,9.9022,88.18819,9.15475,84.80054,23.94416,88.41221,none
96,G,F-C,26.824136155633354,6.606176317166606,13.412068077816677,3.303088158583303,15.5629,63.32615,13.67162,67.92483,17.03073,86.73148,13.54474,73.46716,none
97,G,F-C,23.921136280535865,11.401865618278936,13.90763737240457,6.628991638534267,21.49814,63.0572,24.55824,66.51919,35.87919,77.52461,23.25136,76.39354,PNR
98,G,F-C,27.59580394460229,12.655040686746759,15.331002191445721,7.0305781593037535,32.56117,63.5818,28.24908,65.96279,17.75247,80.21717,28.03186,78.10548,PNR
99,G,F,17.060897183033198,9.106245738323874,10.663060739395746,5.691403586452421,30.88607,63.93186,29.73599,68.44657,40.3014,77.22494,27.24017,74.21509,none
100,G,F,30.733464165887295,20.156252763627847,9.039254166437438,5.9283096363611305,43.61362,71.90882,39.027029999999996,71.7911,19.96917,83.33247,29.28801,84.08217,PNR
101,G,F,19.81517715962348,10.904285810761188,10.769118021534501,5.926242288457167,19.67148,58.87516,22.6939,62.50994,38.063919999999996,65.3234,24.87514,72.55281,none
102,G,C,15.211093481547392,11.38468010881567,8.450607489748549,6.324822282675371,30.93356,60.4364,32.24024,65.15276,37.15727,73.89915,25.62874,72.10426,PNR
103,F,F,24.733315767256695,5.6322430151941445,12.881935295446192,2.933459904,33.51171,67.23744,30.41153,70.81858,21.47582,85.42927,29.54791,65.53289,PNP
104,C,F,8.586206572492637,12.270648720328204,5.366379107807897,7.669155450205127,31.19083,81.93275,34.46653,78.48032,30.376,73.90082,35.49913,67.8594,none
105,F,F-C,20.99993444347106,3.8129136612246697,12.499960978256585,2.2695914650146842,13.2144,63.902640000000005,15.50954,68.02999,30.64659,73.92896,14.8067,66.66829,PNP
106,G,F-C,9.473661032883443,7.180733666127158,6.072859636463747,4.603034401363562,41.23752,77.89813,36.40069,78.71315,42.83742,84.88688,38.62894,74.44114,PNP
107,G,C,21.936016460838186,12.133713786800262,13.71001028802387,7.583571116750164,21.85247,64.20506,23.84807,68.67661,26.60053,83.84699,25.29986,80.29154,PNR
108,F-C,G,9.863033898752423,17.363087910107716,5.870853511162157,10.335171375064116,30.97945,80.72423,32.91742,76.40519,21.3852,80.56094,41.86279,89.59734,none
109,C,G,3.1142057655071134,25.363182358464773,1.692503133427779,13.784338238296078,37.88563,81.03303,41.28166,77.66594,40.2492,82.01274,22.52947,91.40971,none
110,F,G,9.327838829927488,20.865956727807315,3.028519100625806,6.774661275262115,11.751829999999998,74.71206,10.038290000000003,79.28625,9.239170000000001,74.9831,20.53987,64.21037,none
111,G,F,22.555470724758877,9.404174951,14.097169202974296,5.8776093444365065,6.01786,72.05417,10.44981,74.36733,22.97476,80.22767999999999,12.55799,83.03573,PNR
112,C,G,13.663814760330819,1.4512479500636561,7.116570187672299,0.755858307,35.31482,79.79121,38.30777,83.72749,23.20399,82.56431,38.80868,83.59782,none
113,G,F,16.882667229988567,4.704227547237572,8.613605729586006,2.4001160955293734,34.31925,61.65073,31.52732,65.5865,35.49971,76.79128,30.4105,64.17473,PNP
114,G,F-C,22.68894560970359,9.252562634496257,13.505324767680705,5.507477758628726,43.24398,74.44445,38.79141,72.68134,25.51032,73.0756,41.676069999999996,79.01068,PNP
115,F,G,6.9650277236561084,24.65687084,3.4825138618280547,12.328435421184446,19.68094,65.86514,22.04217,61.52485,21.09361,64.97771,4.977159999999998,78.32063,none
116,F,F-C,5.866761163158883,9.474974547,2.8205582515186944,4.555276224716577,3.5461000000000027,84.57265,2.973860000000002,79.8999,3.034080000000003,81.20398,11.923369999999998,82.07517,none
117,G,C,10.093620823491053,10.201241598899637,6.008107633030386,6.072167618392641,35.12174,66.60719,30.23025,67.05954,32.87542,74.5167,27.60348,76.00086,PNR
118,G,F-C,14.562230461396402,16.781016878476255,5.515996386892575,6.3564457873016105,3.9050399999999996,69.86123,7.786450000000002,72.844,13.191479999999999,71.41474,12.4313,82.71951,PNR
119,C,F,8.028128938,11.126258351252657,5.017580586050375,6.95391147,25.10323,76.30223000000001,21.03027,79.19396,25.85812,83.52393000000001,25.89785,69.38714,none
